year,doy,hod,E,gs,gb,Pleaf,Tleaf,A,Ci
74,2022,12,3,0.1,0,-2,30,0,0
75,2022,12,3,0.1,0,-2,30,0,0
76,2022,12,3,0.1,0,-2,30,0,0
77,2022,12,3,0.1,0,-2,30,0,0
78,2022,12,3,0.1,0,-2,30,0,0
79,2022,12,3,0.1,0,-2,30,0,0
80,2022,12,3,0.1,0,-2,30,0,0
81,2022,12,3,0.1,0,-2,30,0,0
82,2022,12,3,0.1,0,-2,30,0,0
83,2022,12,3,0.1,0,-2,30,0,0
84,2022,12,3,0.1,0,-2,30,0,0
85,2022,12,3,0.1,0,-2,30,0,0
86,2022,12,3,0.1,0,-2,30,0,0
87,2022,12,3,0.1,0,-2,30,0,0
88,2022,12,3,0.1,0,-2,30,0,0
89,2022,12,3,0.1,0,-2,30,0,0
90,2022,12,3,0.1,0,-2,30,0,0
91,2022,12,3,0.1,0,-2,30,0,0
92,2022,12,3,0.1,0,-2,30,0,0
93,2022,12,3,0.1,0,-2,30,0,0
94,2022,12,3,0.1,0,-2,30,0,0
95,2022,12,3,0.1,0,-2,30,0,0
96,2022,12,3,0.1,0,-2,30,0,0
97,2022,12,3,0.1,0,-2,30,0,0
98,2022,12,3,0.1,0,-2,30,0,0
99,2022,12,3,0.1,0,-2,30,0,0
100,2022,12,3,0.1,0,-2,30,0,0
101,2022,12,3,0.1,0,-2,30,0,0
102,2022,12,3,0.1,0,-2,30,0,0
103,2022,12,3,0.1,0,-2,30,0,0
104,2022,12,3,0.1,0,-2,30,0,0
105,2022,12,3,0.1,0,-2,30,0,0
106,2022,12,3,0.1,0,-2,30,0,0
107,2022,12,3,0.1,0,-2,30,0,0
108,2022,12,3,0.1,0,-2,30,0,0
109,2022,12,3,0.1,0,-2,30,0,0
110,2022,12,3,0.1,0,-2,30,0,0
111,2022,12,3,0.1,0,-2,30,0,0
112,2022,12,3,0.1,0,-2,30,0,0
113,2022,12,3,0.1,0,-2,30,0,0
114,2022,12,3,0.1,0,-2,30,0,0
115,2022,12,3,0.1,0,-2,30,0,0
116,2022,12,3,0.1,0,-2,30,0,0
117,2022,12,3,0.1,0,-2,30,0,0
118,2022,12,3,0.1,0,-2,30,0,0
119,2022,12,3,0.1,0,-2,30,0,0
120,2022,12,3,0.1,0,-2,30,0,0
121,2022,12,3,0.1,0,-2,30,0,0
122,2022,12,3,0.1,0,-2,30,0,0
123,2022,12,3,0.1,0,-2,30,0,0
124,2022,12,3,0.1,0,-2,30,0,0
125,2022,12,3,0.1,0,-2,30,0,0
126,2022,12,3,0.1,0,-2,30,0,0
127,2022,12,3,0.1,0,-2,30,0,0
128,2022,12,3,0.1,0,-2,30,0,0
129,2022,12,3,0.1,0,-2,30,0,0
130,2022,12,3,0.1,0,-2,30,0,0
131,2022,12,3,0.1,0,-2,30,0,0
132,2022,12,3,0.1,0,-2,30,0,0
133,2022,12,3,0.1,0,-2,30,0,0
134,2022,12,3,0.1,0,-2,30,0,0
135,2022,12,3,0.1,0,-2,30,0,0
136,2022,12,3,0.1,0,-2,30,0,0
137,2022,12,3,0.1,0,-2,30,0,0
138,2022,12,3,0.1,0,-2,30,0,0
139,2022,12,3,0.1,0,-2,30,0,0
140,2022,12,3,0.1,0,-2,30,0,0
141,2022,12,3,0.1,0,-2,30,0,0
142,2022,12,3,0.1,0,-2,30,0,0
143,2022,12,3,0.1,0,-2,30,0,0
144,2022,12,3,0.1,0,-2,30,0,0
145,2022,12,3,0.1,0,-2,30,0,0
146,2022,12,3,0.1,0,-2,30,0,0
147,2022,12,3,0.1,0,-2,30,0,0
148,2022,12,3,0.1,0,-2,30,0,0
149,2022,12,3,0.1,0,-2,30,0,0
150,2022,12,3,0.1,0,-2,30,0,0
